Duration (in seconds),RecordedDate,ResponseId,Q-prolific-mturk,q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-demos-state,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use_1,Q-substance-use_2,Q-substance-use_3,Q-personal_1,Q-personal_2,Q-life-changes,Q-control,Q-altruism,Q-bonus-05,Q-bonus-20,Q-bonus-50,Q-data-value-05,Q-data-value-20,Q-data-value-50,Q-data-value-100,Q-data-value-any,Q-data-value-any_1_TEXT,Q-sell-YOUR-data,Q-sell-consumer-data,Q-small-biz-use,Q-census-use,Q-research-society,Q-attn-check,showdata,incentive,connect
372,11/28/2022 11:51:44,R_2aKnRIuNnEcqWWn,Yes,35 - 44 years,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Male,heterosexual (straight),Kentucky,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes,Yes,No,Yes,Yes,"Yes,No,I don't know",true,bonus-20,
790,11/28/2022 11:55:09,R_xtKzJZ1hMOm3Txv,Yes,25 - 34 years,No,Asian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),Illinois,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,,Decline,,,,,No,No,No,No,More than $1.00 (enter amount),100,No,No,No,I don't know,I don't know,"Yes,No,I don't know",false,control,
306,11/28/2022 11:57:19,R_1rHP3EmlowTtvaq,Yes,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,LGBTQ+,Texas,2,4+,Less than 5 times per month,No,No,No,No,No,Moved place of residence,Consent to share,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,"Yes,No,I don't know",false,control,
423,11/28/2022 11:59:26,R_1FfxhRRore9Zatj,Yes,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Female,heterosexual (straight),Tennessee,1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,No,I don't know,I don't know,"Yes,No,I don't know",true,bonus-50,
272,11/28/2022 12:05:28,R_umqcgydTy2DwcBH,No,55 - 64 years,No,"White or Caucasian,Asian",Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),Georgia,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,Moved place of residence,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes,Yes,Yes,No,Yes,"Yes,No,I don't know",true,bonus-20,
558,11/28/2022 12:34:25,R_9WSxduvirxNr42t,No,35 - 44 years,No,Black or African American,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Alabama,1 (just me!),4+,Less than 5 times per month,Yes,Yes,No,Yes,No,Lost a job ,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes,"Yes,No,I don't know",true,bonus-50,
561,11/28/2022 12:46:56,R_3MSEHXJ2RQdtxOB,No,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Michigan,2,3,Less than 5 times per month,No,No,Yes,No,No,,,,,Decline,,,,No,Yes,,,No,No,No,I don't know,I don't know,"Yes,No,I don't know",false,bonus-20,
601,11/28/2022 12:51:37,R_3nuCIri0LNJEq4U,Yes,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),New Jersey,1 (just me!),4+,Less than 5 times per month,No,No,Yes,No,No,,Consent to share,,,,,,,,,,,No,Yes if consumers get part of the profit,Yes,I don't know,I don't know,"Yes,No,I don't know",true,control,
491,11/28/2022 13:31:54,R_0AjvU74YOfIrIpX,No,55 - 64 years,Yes,"White or Caucasian,American Indian/Native American or Alaska Native",High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),California,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,altruism,
692,11/28/2022 13:37:07,R_3oRbWw6Brl9Zczg,No,18 - 24 years,No,Black or African American,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Ohio,1 (just me!),2,Less than 5 times per month,No,No,No,Yes,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes,"Yes,No,I don't know",true,bonus-20,
269,11/28/2022 13:46:32,R_3JfvcFlS8dhfgcr,Yes,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),Arkansas,1 (just me!),3,5 - 10 times per month,Yes,No,No,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes,"Yes,No,I don't know",true,bonus-50,
1134,11/28/2022 14:00:10,R_2VmPYt5HfrNRvAX,Yes,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),South Carolina,3,3,5 - 10 times per month,Yes,No,No,No,No,,,Decline,,,,No,No,No,No,I would not consent to share my data for any amount.,,No,No,Yes,Yes,Yes,"Yes,No,I don't know",false,altruism,
378,11/28/2022 14:00:34,R_0e9mwIgnQ7UBcGJ,No,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,LGBTQ+,Minnesota,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,Moved place of residence,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes,"Yes,No,I don't know",true,control,
568,11/28/2022 14:06:34,R_Xk42yW3pfoWC6Ih,No,18 - 24 years,Yes,Other,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Massachusetts,3,4+,Less than 5 times per month,No,No,Yes,No,No,Lost a job ,,,Consent to share (receive $0.05 bonus),,,,,,,,,No,No,Yes,No,I don't know,"Yes,No,I don't know",false,bonus-05,
343,11/28/2022 14:11:48,R_2c2zFkBJcs7MFXI,No,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Male,heterosexual (straight),Ohio,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",true,control,
164,11/28/2022 14:14:23,R_2Bg2FwMbTIyoh0G,No,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),Louisiana,4+,1 (just me!),Less than 5 times per month,Yes,No,No,No,No,Had a child,,,Consent to share (receive $0.05 bonus),,,,,,,,,No,No,No,No,No,"Yes,No,I don't know",false,bonus-05,
527,11/28/2022 14:22:37,R_1GIfjocF2dRzyeH,Yes,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),Mississippi,2,4+,More than 10 times per month,No,No,No,No,No,Became pregnant,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,No,I don't know,"Yes,No,I don't know",false,bonus-20,
456,11/28/2022 14:28:00,R_s6judz13mTxfzy1,No,25 - 34 years,No,Black or African American,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Pennsylvania,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,,,,Decline,,,,No,No,No,More than $1.00 (enter amount),$5.00,Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,I don't know,"Yes,No,I don't know",false,bonus-05,
399,11/28/2022 14:36:09,R_1g1rV2pCaPER2B3,No,18 - 24 years,Yes,"White or Caucasian,Black or African American,American Indian/Native American or Alaska Native",High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,Louisiana,2,3,5 - 10 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,No,No,Yes,I don't know,Yes,"Yes,No,I don't know",false,control,
553,11/28/2022 14:54:11,R_0DoXqOQl0hxEeFH,Yes,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Utah,2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No,Moved place of residence,,Consent to share,,,,,,,,,,No,No,I don't know,Yes,Yes,"Yes,No,I don't know",false,altruism,
925,11/28/2022 14:57:20,R_262xe1Uv99c2Nwd,Yes,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Georgia,1 (just me!),3,5 - 10 times per month,Yes,No,No,Yes,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,No,No,No,No,"Yes,No,I don't know",true,bonus-20,
590,11/28/2022 15:02:42,R_3svvB68IgLOnuSn,Yes,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),Kentucky,1 (just me!),4+,5 - 10 times per month,No,No,No,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,No,No,No,No,Yes,"Yes,No,I don't know",true,bonus-05,
562,11/28/2022 15:14:38,R_2OJRIBzhVd0uoiu,No,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Pennsylvania,2,4+,Less than 5 times per month,Yes,Yes,No,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,I don't know,I don't know,Yes,I don't know,Yes,"Yes,No,I don't know",true,bonus-50,
145,11/28/2022 15:22:04,R_2ZQhqi8UnqgEMIo,No,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Delaware,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",true,bonus-05,
2241,11/28/2022 15:42:58,R_Do8gHEUnXT7Wxgt,No,45 - 54 years,Yes,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Arizona,1 (just me!),3,Less than 5 times per month,Yes,Yes,No,No,No,,,Consent to share,,,,,,,,,,No,No,No,No,No,"Yes,No,I don't know",true,altruism,
281,11/28/2022 15:47:32,R_3Kr76eCJCdILz7j,Yes,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Minnesota,1 (just me!),4+,Less than 5 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,Yes,"Yes,No,I don't know",true,bonus-50,
683,11/28/2022 15:51:59,R_3QEHwMlSutc5TZ9,No,18 - 24 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Male,heterosexual (straight),California,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,,,,Decline,,,,Yes,,,,No,No,No,No,No,"Yes,No,I don't know",false,bonus-20,
522,11/28/2022 15:55:31,R_2cozRynbM2kFaF6,No,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Female,heterosexual (straight),Texas,1 (just me!),4+,More than 10 times per month,No,No,I stopped in the recent past,Yes,Yes,,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,No,Yes,"Yes,No,I don't know",false,bonus-05,
227,11/28/2022 16:05:21,R_3sA19vqjjKuEHgA,Yes,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),Nebraska,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,,Consent to share,,,,,,,,,,No,No,No,No,No,"Yes,No,I don't know",true,altruism,
560,11/28/2022 16:08:09,R_5Aect04KOo9zgCl,No,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),Illinois,4+,4+,More than 10 times per month,No,No,No,Yes,No,,,,,Decline,,,,No,No,More than $1.00 (enter amount),10.00,No,No,Yes,Yes,Yes,"Yes,No,I don't know",false,bonus-20,
2055,11/28/2022 16:11:32,R_10VEwmndSsl39vM,No,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),Indiana,3,4+,More than 10 times per month,No,No,Yes,Yes,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,No,No,Yes,Yes,Yes,"Yes,No,I don't know",true,bonus-05,
337,11/28/2022 16:35:35,R_2coOZoRiRqZOdqN,No,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Other,LGBTQ+,Virginia,1 (just me!),4+,Less than 5 times per month,No,No,No,Yes,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,Yes if consumers get part of the profit,Yes,I don't know,Yes,"Yes,No,I don't know",false,bonus-20,
861,11/28/2022 16:43:45,R_2ZKwvQaCWvHI4ey,No,45 - 54 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Female,heterosexual (straight),Kentucky,2,2,5 - 10 times per month,Yes,I stopped in the recent past,No,No,No,"Lost a job ,Moved place of residence",Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes,"Yes,No,I don't know",true,control,
421,11/28/2022 17:10:24,R_z3iQubP8awEU0OB,Yes,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Illinois,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,,,,,Decline,,,,No,I would not consent to share my data for any amount.,,No,No,I don't know,No,I don't know,"Yes,No,I don't know",false,bonus-50,
236,11/28/2022 17:40:03,R_3g2bmHhnUgevJxp,Yes,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),Oklahoma,1 (just me!),3,Less than 5 times per month,Yes,Yes,Yes,No,No,,Consent to share,,,,,,,,,,,No,No,No,I don't know,Yes,"Yes,No,I don't know",true,control,
334,11/28/2022 17:56:37,R_3kLp5UPFHSDwQYB,No,55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,LGBTQ+,Indiana,1 (just me!),4+,Less than 5 times per month,No,Prefer not to say,Yes,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes if I get part of the profit,No,No,No,Yes,"Yes,No,I don't know",false,bonus-20,
645,11/28/2022 17:58:29,R_2ccKVp1NeZmvJcy,Yes,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Female,heterosexual (straight),Maryland,2,2,Less than 5 times per month,No,No,No,Yes,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes,"Yes,No,I don't know",true,control,
398,11/28/2022 18:27:57,R_3Hhlv3A6Jj4ne7z,No,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$25,000 - $49,999",Male,heterosexual (straight),Georgia,1 (just me!),2,Less than 5 times per month,No,I stopped in the recent past,Yes,No,No,,,Consent to share,,,,,,,,,,No,I don't know,Yes,Yes,Yes,"Yes,No,I don't know",true,altruism,
308,11/28/2022 18:49:56,R_3Pc8OyfEgCHZvBs,No,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,LGBTQ+,Maryland,1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Moved place of residence,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,altruism,
378,11/28/2022 19:17:45,R_sjLYTzhjMi0DAkh,Yes,25 - 34 years,No,Black or African American,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Florida,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,Yes if consumers get part of the profit,No,No,Yes,"Yes,No,I don't know",true,bonus-20,
368,11/28/2022 19:19:55,R_2uqaVRuFdQVMLZn,No,35 - 44 years,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Male,heterosexual (straight),Missouri,3,3,5 - 10 times per month,No,No,No,No,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,I don't know,"Yes,No,I don't know",false,control,
357,11/28/2022 19:31:23,R_ZeZNk6GoDJUatUJ,No,25 - 34 years,Yes,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),Texas,1 (just me!),4+,5 - 10 times per month,No,No,No,No,No,Had a child,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,No,No,No,I don't know,"Yes,No,I don't know",true,bonus-20,
382,11/28/2022 19:46:17,R_3PBHIKT3ZQWembf,No,35 - 44 years,Yes,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Virginia,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,bonus-05,
407,11/28/2022 19:58:30,R_T5DC7dqaf9rgfPr,No,45 - 54 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Female,heterosexual (straight),Nevada,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes,"Yes,No,I don't know",true,bonus-50,
478,11/28/2022 20:06:35,R_1MR5moHBEzMpL1a,Yes,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Georgia,1 (just me!),4+,Less than 5 times per month,No,No,Yes,No,No,Had a child,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,control,
362,11/28/2022 20:40:37,R_3HizCKpeuB5PkKD,No,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Alabama,3,3,Less than 5 times per month,Yes,Yes,No,Yes,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,No,No,No,"Yes,No,I don't know",false,bonus-50,
310,11/28/2022 20:41:04,R_2tlrtwEaex5e5hZ,No,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Kentucky,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,No,Yes,Yes,"Yes,No,I don't know",true,bonus-50,
445,11/28/2022 20:41:14,R_2z5SzAhTBlLEuu2,Yes,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Indiana,1 (just me!),4+,Less than 5 times per month,No,Yes,Yes,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,No,No,Yes,No,"Yes,No,I don't know",false,bonus-20,
481,11/28/2022 20:41:20,R_sGsB8wYLpu9i8ut,No,35 - 44 years,No,Asian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Florida,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,Yes,"Yes,No,I don't know",true,bonus-50,
267,11/28/2022 20:41:55,R_1C465BAQuYyIY3s,Yes,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,LGBTQ+,Kentucky,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,Moved place of residence,Consent to share,,,,,,,,,,,No,No,No,No,No,"Yes,No,I don't know",false,control,
411,11/28/2022 20:42:01,R_BE9pJxDxFuncF3j,Yes,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),Pennsylvania,2,4+,More than 10 times per month,Yes,No,Yes,No,No,Lost a job ,,Consent to share,,,,,,,,,,No,No,Yes,Yes,Yes,"Yes,No,I don't know",true,altruism,
492,11/28/2022 20:42:04,R_2wQqVnIFDz7CVjp,No,55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),Iowa,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,,,Consent to share,,,,,,,,,,No,No,I don't know,Yes,Yes,"Yes,No,I don't know",true,altruism,
449,11/28/2022 20:42:07,R_2eUWEWjmzfqQgCx,Yes,35 - 44 years,Yes,Other,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),New York,2,3,Less than 5 times per month,No,No,No,No,No,Became pregnant,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes,"Yes,No,I don't know",true,altruism,
494,11/28/2022 20:42:21,R_2ONCdJtlnKDUkRM,No,18 - 24 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,LGBTQ+,Georgia,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,,,Decline,,,,No,No,No,I would not consent to share my data for any amount.,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,I don't know,"Yes,No,I don't know",false,bonus-05,
470,11/28/2022 20:42:24,R_1ltxGPdvIgeKcV3,No,18 - 24 years,No,"White or Caucasian,Other",High school diploma or GED,"$100,000 - $149,999",Male,LGBTQ+,Pennsylvania,3,4+,5 - 10 times per month,Yes,No,Yes,No,No,Divorce,,,,,Consent to share  (receive $0.50 bonus),,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,bonus-50,
384,11/28/2022 20:43:39,R_2zvyQAbu6BlFQnr,No,18 - 24 years,Yes,Other,High school diploma or GED,"$25,000 - $49,999",Male,LGBTQ+,Pennsylvania,1 (just me!),4+,Less than 5 times per month,No,Yes,Yes,Yes,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,No,I don't know,Yes,No,I don't know,"Yes,No,I don't know",true,bonus-20,
640,11/28/2022 20:44:05,R_1rv6C0xXvnmfYMh,Yes,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$25,000 - $49,999",Female,LGBTQ+,Pennsylvania,1 (just me!),1 (just me!),5 - 10 times per month,No,Yes,Yes,No,No,,Consent to share,,,,,,,,,,,No,No,I don't know,I don't know,I don't know,"Yes,No,I don't know",true,control,
684,11/28/2022 20:46:09,R_3EuLVznxdNt9ygD,No,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),Pennsylvania,1 (just me!),4+,5 - 10 times per month,No,No,Yes,No,No,"Divorce,Moved place of residence",Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes,"Yes,No,I don't know",true,control,
814,11/28/2022 20:47:24,R_22tZfZkw9b1zxls,Yes,35 - 44 years,Yes,Black or African American,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$25,000 - $49,999",Female,heterosexual (straight),Mississippi,1 (just me!),3,Less than 5 times per month,Yes,No,No,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes,"Yes,No,I don't know",true,bonus-05,
498,11/28/2022 20:54:16,R_2ByB8s94wVocXKj,No,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),Pennsylvania,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,I don't know,"Yes,No,I don't know",true,bonus-20,
544,11/28/2022 20:55:00,R_24INqi2ERG7Q8v3,No,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Virginia,1 (just me!),4+,5 - 10 times per month,No,No,No,No,No,,,Consent to share,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",false,altruism,
495,11/28/2022 20:56:46,R_4MgRs6CE479gL2p,No,18 - 24 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),New York,1 (just me!),2,5 - 10 times per month,No,No,Yes,No,No,,Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,Yes,"Yes,No,I don't know",false,control,
865,11/28/2022 20:59:43,R_Wk7zLktb9BDfwwF,Yes,25 - 34 years,No,"White or Caucasian,American Indian/Native American or Alaska Native",High school diploma or GED,"Less than $25,000",Male,heterosexual (straight),Washington,1 (just me!),1 (just me!),Less than 5 times per month,No,Yes,No,No,No,,,,Decline,,,,No,No,No,More than $1.00 (enter amount),$500,I don't know,I don't know,No,I don't know,Yes,"Yes,No,I don't know",true,bonus-05,
262,11/28/2022 21:01:16,R_qxYfYpT6Mf2FhKx,No,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),South Dakota,1 (just me!),4+,5 - 10 times per month,No,Yes,Yes,No,No,,,,Consent to share (receive $0.05 bonus),,,,,,,,,Yes if I get part of the profit,No,I don't know,I don't know,Yes,"Yes,No,I don't know",false,bonus-05,
434,11/28/2022 21:03:33,R_PTZ3QbtCJTTGaEF,No,18 - 24 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),Illinois,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes if I get part of the profit,Yes,No,Yes,Yes,"Yes,No,I don't know",true,bonus-20,
990,11/28/2022 21:03:59,R_1ja0Vjb9ou6O0ul,No,65 and older,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Colorado,2,2,Less than 5 times per month,No,No,No,Yes,No,,,,,,Consent to share  (receive $0.50 bonus),,,,,,,No,No,No,No,Yes,"Yes,No,I don't know",false,bonus-50,
553,11/28/2022 21:06:56,R_2SHtAd3zttOHall,No,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Texas,1 (just me!),3,Less than 5 times per month,No,No,No,Yes,No,,,,,Consent to share (receive $0.20 bonus),,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,No,No,"Yes,No,I don't know",false,bonus-20,
389,11/28/2022 21:09:50,R_3lFC8mZ0NpujRTg,No,18 - 24 years,No,Asian,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Massachusetts,2,1 (just me!),Less than 5 times per month,No,No,No,No,No,"Lost a job ,Moved place of residence",Consent to share,,,,,,,,,,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes,"Yes,No,I don't know",true,control,
